event,time
mouse_move,2026-04-11 16:21:42.524673
mouse_move,2026-04-11 16:21:42.531820
mouse_move,2026-04-11 16:21:42.538930
mouse_move,2026-04-11 16:21:42.545876
mouse_move,2026-04-11 16:21:42.552603
mouse_move,2026-04-11 16:21:42.559564
mouse_move,2026-04-11 16:21:42.566780
mouse_move,2026-04-11 16:21:42.573954
mouse_move,2026-04-11 16:21:42.580930
mouse_move,2026-04-11 16:21:42.587644
mouse_move,2026-04-11 16:21:42.594819
mouse_move,2026-04-11 16:21:42.602012
mouse_move,2026-04-11 16:21:42.608580
mouse_move,2026-04-11 16:21:42.616091
mouse_move,2026-04-11 16:21:42.623181
mouse_move,2026-04-11 16:21:42.630330
mouse_move,2026-04-11 16:21:42.637156
mouse_move,2026-04-11 16:21:42.643847
mouse_move,2026-04-11 16:21:42.650952
mouse_move,2026-04-11 16:21:42.658204
mouse_move,2026-04-11 16:21:42.665205
mouse_move,2026-04-11 16:21:42.672129
mouse_move,2026-04-11 16:21:42.679626
mouse_move,2026-04-11 16:21:42.686476
mouse_move,2026-04-11 16:21:42.693177
mouse_move,2026-04-11 16:21:42.699860
mouse_move,2026-04-11 16:21:42.707581
mouse_move,2026-04-11 16:21:42.714105
mouse_move,2026-04-11 16:21:42.721355
mouse_move,2026-04-11 16:21:42.728224
mouse_move,2026-04-11 16:21:42.735071
mouse_move,2026-04-11 16:21:42.741997
mouse_move,2026-04-11 16:21:42.749595
mouse_move,2026-04-11 16:21:42.756413
mouse_move,2026-04-11 16:21:42.763794
mouse_move,2026-04-11 16:21:42.770028
mouse_move,2026-04-11 16:21:42.777546
mouse_move,2026-04-11 16:21:42.782511
mouse_move,2026-04-11 16:21:44.203106
mouse_move,2026-04-11 16:21:44.209812
mouse_move,2026-04-11 16:21:44.217069
mouse_move,2026-04-11 16:21:44.224724
mouse_move,2026-04-11 16:21:44.231366
mouse_move,2026-04-11 16:21:44.238487
mouse_move,2026-04-11 16:21:44.245541
mouse_move,2026-04-11 16:21:44.252706
mouse_move,2026-04-11 16:21:44.259383
mouse_move,2026-04-11 16:21:44.266453
mouse_move,2026-04-11 16:21:44.273245
mouse_move,2026-04-11 16:21:44.279872
mouse_move,2026-04-11 16:21:44.287260
mouse_move,2026-04-11 16:21:44.294355
mouse_move,2026-04-11 16:21:44.301402
mouse_move,2026-04-11 16:21:44.308537
mouse_move,2026-04-11 16:21:44.315485
mouse_move,2026-04-11 16:21:44.322560
mouse_move,2026-04-11 16:21:44.329501
mouse_move,2026-04-11 16:21:44.336423
mouse_move,2026-04-11 16:21:44.343510
mouse_move,2026-04-11 16:21:44.350305
mouse_move,2026-04-11 16:21:44.357730
mouse_move,2026-04-11 16:21:44.364349
mouse_move,2026-04-11 16:21:44.371358
mouse_move,2026-04-11 16:21:44.378224
mouse_move,2026-04-11 16:21:44.385622
mouse_move,2026-04-11 16:21:44.392950
mouse_move,2026-04-11 16:21:44.399964
mouse_move,2026-04-11 16:21:44.406747
mouse_move,2026-04-11 16:21:44.414007
mouse_move,2026-04-11 16:21:44.420893
mouse_move,2026-04-11 16:21:44.428131
mouse_move,2026-04-11 16:21:44.434688
mouse_move,2026-04-11 16:21:44.441540
mouse_move,2026-04-11 16:21:44.449269
mouse_move,2026-04-11 16:21:44.456232
mouse_move,2026-04-11 16:21:44.463027
mouse_move,2026-04-11 16:21:44.470288
mouse_move,2026-04-11 16:21:44.477049
mouse_move,2026-04-11 16:21:44.483830
mouse_move,2026-04-11 16:21:44.491380
mouse_move,2026-04-11 16:21:44.498477
mouse_move,2026-04-11 16:21:44.505202
mouse_move,2026-04-11 16:21:44.512408
mouse_move,2026-04-11 16:21:44.519327
mouse_move,2026-04-11 16:21:44.525576
mouse_move,2026-04-11 16:21:44.533264
mouse_move,2026-04-11 16:21:44.540376
mouse_move,2026-04-11 16:21:44.547287
mouse_move,2026-04-11 16:21:44.554711
mouse_move,2026-04-11 16:21:44.561376
mouse_move,2026-04-11 16:21:44.568211
mouse_move,2026-04-11 16:21:44.575820
mouse_move,2026-04-11 16:21:44.582514
mouse_move,2026-04-11 16:21:44.589463
mouse_move,2026-04-11 16:21:44.596113
mouse_move,2026-04-11 16:21:44.603600
mouse_move,2026-04-11 16:21:44.610152
mouse_move,2026-04-11 16:21:44.617512
mouse_move,2026-04-11 16:21:44.624504
mouse_move,2026-04-11 16:21:44.631567
mouse_move,2026-04-11 16:21:44.638380
mouse_move,2026-04-11 16:21:44.645520
mouse_move,2026-04-11 16:21:44.652274
mouse_move,2026-04-11 16:21:44.658964
mouse_move,2026-04-11 16:21:44.666497
mouse_move,2026-04-11 16:21:44.673634
mouse_move,2026-04-11 16:21:44.680983
mouse_move,2026-04-11 16:21:44.687808
mouse_move,2026-04-11 16:21:44.694680
mouse_move,2026-04-11 16:21:44.702138
mouse_move,2026-04-11 16:21:44.708847
mouse_move,2026-04-11 16:21:44.715987
mouse_move,2026-04-11 16:21:44.722830
mouse_move,2026-04-11 16:21:44.729585
mouse_move,2026-04-11 16:21:44.736828
mouse_move,2026-04-11 16:21:44.744091
mouse_move,2026-04-11 16:21:44.750897
mouse_move,2026-04-11 16:21:44.758180
mouse_move,2026-04-11 16:21:44.765020
mouse_move,2026-04-11 16:21:44.771889
mouse_move,2026-04-11 16:21:44.778926
mouse_move,2026-04-11 16:21:44.785784
mouse_move,2026-04-11 16:21:44.793091
mouse_move,2026-04-11 16:21:44.800101
mouse_move,2026-04-11 16:21:44.807294
mouse_move,2026-04-11 16:21:44.814294
mouse_move,2026-04-11 16:21:44.821323
mouse_move,2026-04-11 16:21:44.828534
mouse_move,2026-04-11 16:21:44.835399
mouse_move,2026-04-11 16:21:44.842152
mouse_move,2026-04-11 16:21:44.849478
mouse_move,2026-04-11 16:21:44.855781
mouse_move,2026-04-11 16:21:44.863537
mouse_move,2026-04-11 16:21:44.870239
mouse_move,2026-04-11 16:21:44.877332
mouse_move,2026-04-11 16:21:44.884577
mouse_move,2026-04-11 16:21:44.891453
mouse_move,2026-04-11 16:21:44.898301
mouse_move,2026-04-11 16:21:44.905273
mouse_move,2026-04-11 16:21:44.911891
mouse_move,2026-04-11 16:21:44.919439
mouse_move,2026-04-11 16:21:44.926035
mouse_move,2026-04-11 16:21:44.933649
mouse_move,2026-04-11 16:21:44.940732
mouse_move,2026-04-11 16:21:44.948031
mouse_move,2026-04-11 16:21:44.954949
mouse_move,2026-04-11 16:21:44.962170
mouse_move,2026-04-11 16:21:44.968879
mouse_move,2026-04-11 16:21:44.975394
mouse_move,2026-04-11 16:21:44.982856
mouse_move,2026-04-11 16:21:44.989798
mouse_move,2026-04-11 16:21:44.996862
mouse_move,2026-04-11 16:21:45.003797
mouse_move,2026-04-11 16:21:45.010954
mouse_move,2026-04-11 16:21:45.017695
mouse_move,2026-04-11 16:21:45.024735
mouse_move,2026-04-11 16:21:45.032381
mouse_move,2026-04-11 16:21:45.039216
mouse_move,2026-04-11 16:21:45.045997
mouse_move,2026-04-11 16:21:45.052724
mouse_move,2026-04-11 16:21:45.059462
mouse_move,2026-04-11 16:21:45.064704
mouse_move,2026-04-11 16:21:46.268145
mouse_move,2026-04-11 16:21:46.274819
mouse_move,2026-04-11 16:21:46.282419
mouse_move,2026-04-11 16:21:46.288545
mouse_move,2026-04-11 16:21:46.296397
mouse_move,2026-04-11 16:21:46.303422
mouse_move,2026-04-11 16:21:46.309834
mouse_move,2026-04-11 16:21:46.317386
